user_id,user_screen_name,user_friends_count,user_create_at,tweet_id,tweet_lang,tweet_country_code,tweet_country,tweet_place_type,tweet_place_name,tweet_coordinates,tweet_nbr_hashtags,tweet_hashtags,user_mentions_nbr,user_mentions_ids_str,user_mentions_screen_name,retweet_id,retweet_hashtags,quoted_status_id_tweet,quote_status_id_str,quote_status_id_screen_name,retweet_hashtags_nbr,status
350922510,duf19,25,Mon Aug 08 14:32:44 +0000 2011,1008360051780747264,fr,,,,,[],2.0,"['bra', 'sui']",1.0,['851083166450417667'],['club_parieur'],1.0083255156551639e+18,"['bra', 'sui']",,,,2.0,normal
96869309,vinca_lee,255,Mon Dec 14 23:52:10 +0000 2009,1008360051763916800,en,,,,,[],,[],1.0,['220484183'],['cnyari'],1.0083526978236948e+18,[],1.0083506650795131e+18,220484183.0,Cnyari,,normal
1063978484,jfk_dublin,496,Sat Jan 05 20:57:15 +0000 2013,1008360052422578177,und,,,,,[],,[],1.0,['280688448'],['herbertsharkey'],,[],1.0080767338059448e+18,339252812.0,BobProcterr,,normal
1008358629727072257,dara92737283,0,Sun Jun 17 14:40:06 +0000 2018,1008360052489535490,th,,,,,[],1.0,['สวัสดีบอลโลก'],,[],[],,[],,,,,normal
342442221,luckychampion,87,Tue Jul 26 01:05:36 +0000 2011,1008360053777293312,pt,,,,,[],7.0,"['copa2018', 'russia2018', 'rus', 'alemanha', 'méxico', 'ger', 'mex']",,[],[],,[],,,,,normal
613376801,kamaratheaddict,588,Wed Jun 20 11:57:04 +0000 2012,1008360053601161218,de,,,,,[],,[],1.0,['2890850489'],['airtelufootball'],1.0083582228629135e+18,[],,,,,normal
3061311382,xsovietnews,997,Wed Feb 25 07:41:38 +0000 2015,1008360053936705536,en,,,,,[],,[],1.0,['16827148'],['christopherjm'],1.008357649690366e+18,[],,,,,normal
751373908989841408,mob_ind,775,Fri Jul 08 11:14:34 +0000 2016,1008360055429885952,de,,,,,[],2.0,"['germex', 'usa']",1.0,['751373908989841408'],['mob_ind'],1.0083416334972723e+18,"['germex', 'usa']",1.00833209643844e+18,8.779121317898772e+17,CMA_Europe,2.0,normal
819486120,chrisdonnelly12,510,Wed Sep 12 12:44:27 +0000 2012,1008360055714934784,en,,,,,[],,[],1.0,['474493404'],['titusoreily'],1.008324188002648e+18,[],1.0082715384396513e+18,48201591.0,Optus,,normal
889092764343967744,jat_udaipur,2072,Sun Jul 23 12:00:08 +0000 2017,1008360055945728000,hi,,,,,[],2.0,"['eidulfitr_special', 'sundaymotivation']",1.0,['964529809668718592'],['deepika74607768'],1.0080343692635955e+18,"['eidulfitr_special', 'sundaymotivation']",,,,2.0,normal
1641623754,dat_boy_cyril,483,Sat Aug 03 00:29:34 +0000 2013,1008360056126083072,en,,,,,[],,[],1.0,['44606764'],['optajoe'],1.0083544410058629e+18,[],,,,,normal
947941812,samdzek,441,Wed Nov 14 15:24:03 +0000 2012,1008360056654614528,sr,,,,,[],,[],,[],[],,[],1.008357195149439e+18,3036495555.0,SerbianPM,,normal
2304873134,ecuadordon,19175,Wed Jan 22 13:41:56 +0000 2014,1008360056667156480,en,,,,,[],,[],1.0,['67953340'],['davepperlmutter'],1.008257941361705e+18,[],,,,,normal
4138928052,undisputedmexi,172,Thu Nov 05 21:20:00 +0000 2015,1008360057128587265,de,,,,,[],1.0,['wm2018'],1.0,['805795283896565760'],['krewnaj'],1.0083583358574797e+18,['wm2018'],,,,1.0,normal
47759481,markojevtic,2187,Tue Jun 16 22:38:56 +0000 2009,1008360057636081664,en,,,,,[],,[],1.0,['347280789'],['richjolly'],1.0083597662871511e+18,[],1.0083593852974449e+18,2996901234.0,NatSportUAE,,normal
386309007,tobby_stark,1240,Fri Oct 07 01:18:45 +0000 2011,1008360058521096192,und,,,,,[],,[],,[],[],,[],1.008355283209515e+18,7.051746256599163e+17,BrazilStat,,normal
798083596728745984,odeeeen14,881,Mon Nov 14 08:42:11 +0000 2016,1008360058579644417,ja,,,,,[],,[],,[],[],,[],1.0083591995947008e+18,2152685876.0,FCBayernEN,,normal
387812200,elcor35,225,Sun Oct 09 18:20:34 +0000 2011,1008360058491686912,tr,,,,,[],1.0,['mobilbahis'],1.0,['893008918242373632'],['mobilbahiscom'],1.0083435459656212e+18,['mobilbahis'],,,,1.0,normal
411167999,alshaami,955,Sun Nov 13 02:37:12 +0000 2011,1008360059607420928,ar,,,,,[],7.0,"['مقاعد_الملاعب_الروسية', 'المقاعد_الإضافية', 'روسيا2018', 'معاك_يالاخضر', 'كرة_القدم', 'كاس_العالم', 'russia2018']",1.0,['234504612'],['alwatansa'],1.0082013273007514e+18,"['مقاعد_الملاعب_الروسية', 'المقاعد_الإضافية', 'روسيا2018', 'معاك_يالاخضر', 'كرة_القدم', 'كاس_العالم']",,,,6.0,normal
280105087,idari0,1111,Sun Apr 10 17:00:30 +0000 2011,1008360059632357378,es,,,,,[],3.0,"['selfie', 'mexico', 'russia2018']",,[],[],,[],,,,,normal
2248246487,hodgsonholic,446,Sat Dec 28 15:08:06 +0000 2013,1008360059972259842,en,,,,,[],,[],1.0,['133223849'],['hesham786'],1.0083304806625157e+18,[],,,,,normal
3193543629,_e7ernos,152,Wed Apr 22 05:43:25 +0000 2015,1008360060219723777,en,,,,,[],,[],1.0,['705174625659916288'],['brazilstat'],1.008355283209515e+18,[],,,,,normal
63455353,sar_gent,985,Thu Aug 06 11:43:56 +0000 2009,1008360061469589505,en,,,,,[],,[],1.0,['44606764'],['optajoe'],1.0083544410058629e+18,[],,,,,normal
863821563619094528,moh_esmail77,717,Sun May 14 18:21:24 +0000 2017,1008360061830299648,fr,,,,,[],3.0,"['allezlesbleus', 'fiersdetrebleus', 'weliveforfootball']",2.0,"['2491702663', '2155215398']","['paulpogba', 'equipedefrance']",1.008031146679169e+18,"['allezlesbleus', 'fiersdetrebleus']",,,,2.0,normal
3860982454,jtaylor_187,105,Sun Oct 04 10:36:37 +0000 2015,1008360063201959937,en,,,,,[],,[],1.0,['429394510'],['ellisbeattie'],1.0083433058585436e+18,[],,,,,normal
1414733905,jakemooresport,3191,Thu May 09 05:58:52 +0000 2013,1008360063256420353,en,,,,,[],,[],1.0,['44606764'],['optajoe'],1.0083379073404477e+18,[],,,,,normal
600427000,naats16,815,Tue Jun 05 21:11:17 +0000 2012,1008360063965253633,es,,,,,[],,[],,[],[],,[],,,,,normal
1097675570,nahzree,629,Thu Jan 17 09:22:08 +0000 2013,1008360065613684738,de,,,,,[],3.0,"['ger', 'mex', 'mex']",1.0,['1944665077'],['squawkanews'],1.0083497140419297e+18,"['ger', 'mex']",,,,2.0,normal
387492041,troykeywon,4066,Sun Oct 09 04:52:56 +0000 2011,1008360066016165888,en,,,,,[],,[],1.0,['2901511646'],['niket_wingman11'],1.0077278750706115e+18,[],,,,,normal
31738596,jideunconformed,761,Thu Apr 16 11:54:22 +0000 2009,1008360067027144704,en,,,,,[],,[],,[],[],,[],1.0079944071346627e+18,9.435557609230705e+17,Blvckcinderela,,normal
965093639499190272,grime4corbynuk,3993,Sun Feb 18 05:20:29 +0000 2018,1008360067626930176,en,,,,,[],1.0,['socialism'],1.0,['965093639499190272'],['grime4corbynuk'],1.0082976778960159e+18,['socialism'],,,,1.0,normal
954459992467238912,putindagreat1,112,Fri Jan 19 21:06:10 +0000 2018,1008360068184563713,und,,,,,[],1.0,['большой'],1.0,['2482038769'],['bolshoiofficial'],1.0080906136597217e+18,['большой'],,,,1.0,normal
456928419,alaye_100,360,Fri Jan 06 20:45:47 +0000 2012,1008360068943941633,en,,,,,[],,[],,[],[],,[],,,,,normal
1007866748853420032,elenasm93673659,116,Sat Jun 16 06:05:32 +0000 2018,1008360068964913154,en,,,,,[],1.0,['germex'],3.0,"['268361752', '609444696', '145019819']","['miseleccionmx', '629ivanbigboss', 'cocacolamx']",,[],1.0083452607648236e+18,9.696479859141878e+17,SteveDalhart,,normal
3299729536,david_murdo,674,Tue May 26 19:43:03 +0000 2015,1008360069040431105,en,,,,,[],,[],1.0,['127345230'],['jakubkrupa'],,[],1.0079908336001802e+18,3299729536.0,David_Murdo,,normal
1927884877,ehiyeside,2343,Wed Oct 02 19:00:40 +0000 2013,1008360069438853121,en,,,,,[],,[],1.0,['887946568736944129'],['kvnqdc'],1.0081101511345316e+18,[],,,,,normal
731198494183198720,joedeuxh,100,Fri May 13 19:04:40 +0000 2016,1008360070302916608,en,,,,,[],,[],1.0,['705174625659916288'],['brazilstat'],1.008355283209515e+18,[],,,,,normal
413539363,kiko_arez,446,Wed Nov 16 00:37:12 +0000 2011,1008360070139088898,in,,,,,[],3.0,"['kamutaugaksih', 'ger', 'mex']",1.0,['947281567'],['panditfootball'],1.0083566314307953e+18,"['kamutaugaksih', 'ger', 'mex']",,,,3.0,normal
370096977,elsarevianti,392,Thu Sep 08 13:17:20 +0000 2011,1008360070105579520,in,,,,,[],,[],,[],[],,[],1.0082784350038057e+18,533085085.0,MesutOzil1088,,normal
145865810,batom_efutebol,1317,Thu May 20 02:17:38 +0000 2010,1008360069145268225,pt,,,,,[],1.0,['bestneverrest'],1.0,['78270570'],['dfb_team'],,[],,,,,normal
1104022188,suarez11mx,525,Sat Jan 19 16:02:57 +0000 2013,1008360067916288002,und,,,,,[],3.0,"['russia2018', 'mexger', 'nadanosdetiene']",,[],[],,[],,,,,normal
380255386,akkanvolkan,808,Mon Sep 26 10:30:37 +0000 2011,1008360071859003392,tr,,,,,[],,[],1.0,['582952005'],['hepsi_bahis'],1.0083058535466148e+18,[],,,,,normal
